
mxk整理收集

.net IL 指令速查：
名称,说明
Add,将两个值相加并将结果推送到计算堆栈上。
Add.Ovf,将两个整数相加，执行溢出检查，并且将结果推送到计算堆栈上。
Add.Ovf.Un,将两个无符号整数值相加，执行溢出检查，并且将结果推送到计算堆栈上。
And,计算两个值的按位“与”并将结果推送到计算堆栈上。
Arglist,返回指向当前方法的参数列表的非托管指针。
Beq,如果两个值相等，则将控制转移到目标指令。
Beq.S,如果两个值相等，则将控制转移到目标指令（短格式）。
Bge,如果第一个值大于或等于第二个值，则将控制转移到目标指令。
Bge.S,如果第一个值大于或等于第二个值，则将控制转移到目标指令（短格式）。
Bge.Un,当比较无符号整数值或不可排序的浮点型值时，如果第一个值大于第二个值，则将控制转移到目标指令。
Bge.Un.S,当比较无符号整数值或不可排序的浮点型值时，如果第一个值大于第二个值，则将控制转移到目标指令（短格式）。
Bgt,如果第一个值大于第二个值，则将控制转移到目标指令。
Bgt.S,如果第一个值大于第二个值，则将控制转移到目标指令（短格式）。
Bgt.Un,当比较无符号整数值或不可排序的浮点型值时，如果第一个值大于第二个值，则将控制转移到目标指令。
Bgt.Un.S,当比较无符号整数值或不可排序的浮点型值时，如果第一个值大于第二个值，则将控制转移到目标指令（短格式）。
Ble,如果第一个值小于或等于第二个值，则将控制转移到目标指令。
Ble.S,如果第一个值小于或等于第二个值，则将控制转移到目标指令（短格式）。
Ble.Un,当比较无符号整数值或不可排序的浮点型值时，如果第一个值小于或等于第二个值，则将控制转移到目标指令。
Ble.Un.S,当比较无符号整数值或不可排序的浮点值时，如果第一个值小于或等于第二个值，则将控制权转移到目标指令（短格式）。
Blt,如果第一个值小于第二个值，则将控制转移到目标指令。
Blt.S,如果第一个值小于第二个值，则将控制转移到目标指令（短格式）。
Blt.Un,当比较无符号整数值或不可排序的浮点型值时，如果第一个值小于第二个值，则将控制转移到目标指令。
Blt.Un.S,当比较无符号整数值或不可排序的浮点型值时，如果第一个值小于第二个值，则将控制转移到目标指令（短格式）。
Bne.Un,当两个无符号整数值或不可排序的浮点型值不相等时，将控制转移到目标指令。
Bne.Un.S,当两个无符号整数值或不可排序的浮点型值不相等时，将控制转移到目标指令（短格式）。
Box,将值类转换为对象引用（O 类型）。
Br,无条件地将控制转移到目标指令。
Br.S,无条件地将控制转移到目标指令（短格式）。
Break,向公共语言结构 (CLI) 发出信号以通知调试器已撞上了一个断点。
Brfalse,如果 value 为 false、空引用（Visual Basic 中的 Nothing）或零，则将控制转移到目标指令。
Brfalse.S,如果 value 为 false、空引用或零，则将控制转移到目标指令。
Brtrue,如果 value 为 true、非空或非零，则将控制转移到目标指令。
Brtrue.S,如果 value 为 true、非空或非零，则将控制转移到目标指令（短格式）。
Call,调用由传递的方法说明符指示的方法。
Calli,通过调用约定描述的参数调用在计算堆栈上指示的方法（作为指向入口点的指针）。
Callvirt,对对象调用后期绑定方法，并且将返回值推送到计算堆栈上。
Castclass,尝试将引用传递的对象转换为指定的类。
Ceq,比较两个值。如果这两个值相等，则将整数值 1 (int32) 推送到计算堆栈上；否则，将 0 (int32) 推送到计算堆栈上。
Cgt,比较两个值。如果第一个值大于第二个值，则将整数值 1 (int32) 推送到计算堆栈上；反之，将 0 (int32) 推送到计算堆栈上。
Cgt.Un,比较两个无符号的或不可排序的值。如果第一个值大于第二个值，则将整数值 1 (int32) 推送到计算堆栈上；反之，将 0 (int32) 推送到计算堆栈上。
Ckfinite,如果值不是有限数，则引发 ArithmeticException。
Clt,比较两个值。如果第一个值小于第二个值，则将整数值 1 (int32) 推送到计算堆栈上；反之，将 0 (int32) 推送到计算堆栈上。
Clt.Un,比较无符号的或不可排序的值 value1 和 value2。如果 value1 小于 value2，则将整数值 1 (int32 ) 推送到计算堆栈上；反之，将 0 ( int32 ) 推送到计算堆栈上。
Constrained,约束要对其进行虚方法调用的类型。
Conv.I,将位于计算堆栈顶部的值转换为 native int。
Conv.I1,将位于计算堆栈顶部的值转换为 int8，然后将其扩展（填充）为 int32。
Conv.I2,将位于计算堆栈顶部的值转换为 int16，然后将其扩展（填充）为 int32。
Conv.I4,将位于计算堆栈顶部的值转换为 int32。
Conv.I8,将位于计算堆栈顶部的值转换为 int64。
Conv.Ovf.I,将位于计算堆栈顶部的有符号值转换为有符号 native int，并在溢出时引发 OverflowException。
Conv.Ovf.I.Un,将位于计算堆栈顶部的无符号值转换为有符号 native int，并在溢出时引发 OverflowException。
Conv.Ovf.I1,将位于计算堆栈顶部的有符号值转换为有符号 int8 并将其扩展为 int32，并在溢出时引发 OverflowException。
Conv.Ovf.I1.Un,将位于计算堆栈顶部的无符号值转换为有符号 int8 并将其扩展为 int32，并在溢出时引发 OverflowException。
